sizes_loss_2D,dice_mean_2D,dice_std_2D,dice_mean_gpu_2D,dice_std_gpu_2D,hausdorff_mean_2D,hausdorff_std_2D,hausdorff_mean_gpu_2D,hausdorff_std_gpu_2D
1.0,200.50651612903226,1497.922324070295,206.58198103266596,1702.5482383020897,93.40894897959184,17.518883741674504,113817.09,39343.86471739894
121.0,220.6905414012739,1557.502083187403,215.10669491525422,1544.5593589639834,501.6549514563108,3458.283871851635,121623.44,70479.7863972037
441.0,266.7242219804135,1761.9200814665353,257.72061767838125,1755.4102684412876,1456.9502702702703,427.6209590346503,132912.44,33506.868673023244
1024.0,347.4892709466812,2229.219897715222,340.8870678336981,2238.5461402235014,2612.0466666666666,1341.8990077934084,150012.2,334498.93999420357
1764.0,452.3533730631705,2742.202276584422,454.1938333333334,3312.318416984019,4585.03875,2694.715896620604,154232.4,290316.0994743512
2704.0,576.1674833333334,3929.4566743486594,570.7833576642337,3552.1518384140863,7317.915714285715,4480.51416707627,153656.94,466347.70774207485
3844.0,715.515813559322,4454.17912055168,712.1632592592592,4627.587236168081,10265.224,6008.032772514107,145982.36,535058.351072792
5184.0,891.3230285714285,5416.632103995332,892.0741958041958,5916.576933348289,15093.05,3751.2811023023655,149995.79,49138.39956192153
6724.0,1188.8159744408947,8208.05382539817,1190.3332069970845,7873.469122247209,20761.83,7999.355537791901,137131.44,32942.008061378285
8649.0,1352.7112704918034,9969.544985698605,1330.7774319066148,9602.323536522108,24614.97,7507.226434840928,142869.23,41832.8191816326
10609.0,1688.4013043478262,11920.710993600373,1679.0060576923076,11933.992525378373,28999.6,8193.830223123528,140718.49,101792.52422903547
12769.0,2010.2530653266333,13519.550980166456,2025.1518,13548.416872558653,38559.57,10764.71041478271,163517.78,658420.8242651916
15129.0,2349.874896907216,14565.422799316637,2325.5373056994817,14562.123813102542,56872.65,17578.199062638036,135237.7,78390.8562483172
17689.0,2888.5523668639057,24978.518220594702,2784.93875,24216.633263116877,57238.4,17171.553967727166,153710.89,353962.97908886534
20736.0,3206.3096453900707,27332.414493629007,4066.908447589561,35476.09353888061,74146.36,1.0896598083753258e6,197044.67,330243.0045221164
23716.0,5769.813650793651,69158.43431470671,4817.504285714285,109712.65348901598,155192.81,1.8337784924579202e6,240479.36,423718.45721550635
26896.0,3525.672,98738.79445537842,3712.5022222222215,38471.02803773642,100226.0,1.6978495977352213e6,146573.48,45929.453231635765
30276.0,4928.388260869566,72083.00827357918,4088.1715625,57884.30695932793,109728.04,1.252682517584062e6,153463.89,35296.01492994492
33856.0,5459.33043478261,88716.8708742493,4176.827,93637.0120917227,103627.74,934828.9983211389,151084.38,52062.551002974214
37636.0,4449.144,86789.54348856295,4406.443,90360.44655881237,133702.07,1.494697867493704e6,138017.2,32050.400449555982
42025.0,5770.017,120978.52257529914,5709.818,115634.39840755165,144899.6,1.2944506225380935e6,161447.3,321163.43107155827
46225.0,6424.106,134056.4270592214,5720.803,114246.60067048676,150322.98,1.6245323779428396e6,153542.25,111513.59664256693
50625.0,8112.383,163308.4016275205,6643.158,131159.10656226068,153767.95,1.1415521848601021e6,136841.99,27123.091048896047
55225.0,6739.295,112840.03759509044,6379.889,111201.26667573849,182066.66,1.5177717110471954e6,152431.89,88321.49796469808
60025.0,7243.305,114312.43920310088,7123.967,112076.25828863181,172526.61,986689.5388730537,163369.52,457449.85169267544
65536.0,9077.249,154944.193568375,9043.985,149961.84140613096,257974.08,2.439366679984806e6,143020.84,41754.857495947115
70756.0,10641.717,164033.35170461237,13482.692,235682.41483585365,203352.93,1.0014899069150819e6,488763.97,1.451794117017513e6
76176.0,15967.234444444444,287562.33387561806,9801.485,150440.2573126183,239144.37,1.410432787634047e6,493975.91,1.2328282590346064e6
81796.0,15571.007777777779,250533.03227251733,12233.058888888889,193499.11262623133,289625.55,2.012191346836535e6,121182.99,23421.794117954967
87616.0,11089.854444444445,153666.67933755173,10975.568888888887,158913.7220137075,248208.86,1.3082400924858775e6,192176.73,392659.6283702748
93636.0,15621.6,215478.87948512664,15326.01,198210.49712558062,258564.29,1.2695801409289674e6,212201.63,159603.05319699267
100489.0,17823.255555555555,256005.37837871036,12798.176666666666,180077.15646589326,268489.03,1.1477066170762237e6,175420.54,920073.4795943716
106929.0,13074.068888888889,172652.26715272802,13231.75111111111,173582.2368918354,303835.26,1.3603170091398817e6,117864.53,31910.803575240505
113569.0,14736.081111111114,195921.8013769745,21386.11125,306249.08904111,314776.8,1.3768420902623178e6,1.5513670830730794e6,3.735344460988852e6
120409.0,25190.60625,356299.6047517651,23766.80625,320023.5654056307,483703.95,2.047906919696444e6,454735.77,1.314744343099554e6
127449.0,15099.34625,186643.4136365681,15626.8,184835.90812568573,374345.4,1.829447680042322e6,117055.26,32136.030071794477
134689.0,16730.75875,171758.2528986126,16807.1725,181047.69549197034,369491.59,1.45397931263083e6,119047.71,37234.95826461469
142884.0,21064.992857142857,265627.3533078195,20978.64833333333,295321.79487486044,391927.74,1.7023740094965368e6,117023.71,34933.15759254863
150544.0,23612.73142857143,285199.6495018884,24676.49,312313.9778446221,402173.44,1.7489540603981307e6,131635.78,333737.3590868676
158404.0,32568.14333333333,438364.64540880476,34984.327142857146,475233.2644128281,415792.29,1.4236372580224923e6,113136.69,23265.77302526926
166464.0,33279.03999999999,432810.14049761044,33692.826,509449.8824355984,461954.73,1.7145746525058427e6,117460.51,26171.906281502328
174724.0,34816.20166666666,467723.35911963606,37374.435,492192.18305095454,448342.84,1.4378107149329276e6,116570.84,29736.12290455732
184041.0,39371.144,547200.034308886,40446.06,591005.5658675687,482317.29,1.595736734281871e6,116938.39,28647.354333322484
192721.0,35179.54,512588.80978731875,37884.068,544291.0615319507,506487.9387755102,1.6795799351062481e6,114900.74,35427.055072013914
201601.0,52058.6325,789162.2650225974,52359.9975,805862.5477782818,525797.7372721558,1.5403006159718432e6,116847.94,25804.362155787283
210681.0,43359.1275,625276.623491327,48646.96333333333,907588.8954293377,541440.451633916,1.6541463287992692e6,115643.71,25485.814232796452
219961.0,58476.1425,826948.1205124262,59635.2775,849703.4764003508,583992.6247798003,1.6139019586785776e6,112467.53,28062.890786286225
229441.0,51933.2,884239.3912180319,38561.84,17499.306454458092,626223.9486275497,1.9209481867354e6,119445.98,29663.86991539432
240100.0,53647.47,19094.492335824387,75602.95,1.4304615458031287e6,647703.6839364748,1.970671159229449e6,117295.5,35328.771248909805
250000.0,65216.65000000001,1.150410145715239e6,47137.38,16322.461977658313,727649.0272938444,2.171869116520671e6,2.2437912122577736e6,4.360273747445158e6
260100.0,67048.79,28922.438750600348,58224.34,18978.898056039558,1.1229684919210053e6,4.0634991975482204e6,2.227266383169203e6,4.0286759545271792e6
