,sizes_2D,hd_mean_2D_purePython,dice_mean_2D_purePython,hd_std_2D_purePython,dice_std_2D_purePython
0,3,44196.5,65002.80078125,219130.671875,246537.09375
1,9,35026.5,74471.296875,183943.59375,249019.046875
2,23,39053.6015625,76000.703125,193897.828125,265001.5625
3,29,42959.8984375,64001.19921875,202715.078125,244758.734375
4,43,47918.3984375,62047.0,213446.171875,237418.171875
5,49,58895.3984375,61089.0,235252.0,239535.453125
6,63,69987.0,61992.80078125,255112.75,241202.296875
7,69,71929.90625,64986.0,262155.84375,246509.75
8,83,90999.390625,67024.796875,287639.75,250190.0625
9,89,96051.0078125,73993.3046875,294797.28125,261825.0
10,103,118240.4921875,77987.6953125,308631.71875,268165.78125
11,109,127076.9921875,85151.296875,313964.84375,277928.96875
12,123,149051.8125,93984.1015625,356299.46875,291865.59375
13,129,164062.390625,102023.203125,370488.21875,302780.3125
14,143,189987.59375,109069.6015625,394859.0,311901.53125
15,149,201207.609375,119031.5078125,400075.5,323932.4375
16,163,228980.5,132027.015625,420304.84375,338622.625
17,169,247990.8125,138061.59375,434215.6875,345120.8125
18,183,275425.3125,149018.6875,445346.875,356243.875
19,189,247988.890625,156966.296875,445403.78125,366461.6875
20,203,270004.0,176994.625,443553.65625,381657.5625
21,209,322877.875,193998.8125,462744.0625,395427.0
22,223,332986.21875,228933.234375,475506.75,409968.46875
23,229,339002.65625,241293.796875,473375.71875,425510.75
24,243,365974.59375,235998.53125,483774.03125,429337.4375
25,249,387997.90625,262001.90625,489369.59375,443887.1875
26,263,313000.84375,233000.671875,465881.0,424672.65625
27,269,342647.71875,235002.890625,467066.53125,426386.375
28,283,587298.9375,256992.4375,502497.59375,436967.4375
29,289,812992.125,260984.890625,481682.46875,441428.65625
30,303,416987.65625,274993.40625,503109.96875,450960.78125
31,309,1031310.125,301851.0,420779.15625,455328.25
32,323,1192003.0,274326.59375,454995.09375,450763.15625
33,329,439365.34375,273000.71875,496477.46875,449957.875
34,343,933921.25,265996.5,435058.71875,444136.3125
35,349,1792358.375,268990.78125,573554.4375,445865.28125
36,363,1716085.875,295998.90625,569948.25,463022.65625
37,369,2281790.25,592997.0625,603316.0625,623969.625
38,383,2333658.25,637389.1875,632191.875,690496.0
39,389,2600440.75,664532.25,991318.25,560940.3125
40,403,2623873.25,664994.0625,832036.25,587208.625
41,409,2792188.5,675841.1875,877262.25,558055.9375
42,423,2858577.25,769311.1875,1119326.25,573535.875
43,429,2921705.0,757004.375,1153156.125,503890.15625
44,443,3138452.0,802968.1875,908941.8125,627810.125
45,449,3271796.25,770870.0625,733833.875,568103.0625
46,463,3398243.5,917008.8125,1101133.75,549644.25
47,469,3534167.25,852596.25,1125904.75,603558.0625
48,483,4011263.0,832009.625,1084633.625,515522.78125
49,489,4177856.0,939992.875,1347761.5,616708.375
50,503,4128541.5,1106103.875,994659.1875,557597.0625
