,sizes_2D,hd_mean_2D_purePython_GPU,dice_mean_2D_purePython_GPU,hd_std_2D_purePython_GPU,dice_std_2D_purePython_GPU
0,1,1122648.75,124998.703125,32827078.0,330720.3125
1,121,94992.515625,122001.40625,293193.90625,327295.90625
2,441,85995.90625,133032.203125,280351.25,338851.28125
3,961,92002.09375,127012.2109375,289033.65625,333011.1875
4,1681,93613.203125,126993.109375,286534.21875,332291.53125
5,2601,102067.6015625,138034.6875,288918.71875,344874.15625
6,3721,100990.9140625,118028.0859375,304608.40625,322760.8125
7,5041,94668.703125,143979.71875,289393.71875,356887.53125
8,6561,96011.6015625,133030.40625,294630.875,339681.34375
9,8281,96982.90625,126046.703125,295906.6875,332009.09375
10,10201,84997.203125,127953.8046875,278872.75,333982.15625
11,12321,83998.796875,139992.0,277384.34375,349889.25
12,14641,89986.1015625,142407.90625,286139.15625,339895.71875
13,17161,79994.09375,148554.1875,271273.9375,356761.9375
14,19881,79998.703125,138886.59375,271289.90625,344278.28125
15,22801,88004.3984375,132030.09375,286841.125,344484.8125
16,25921,90995.6953125,131950.109375,287597.375,338398.6875
17,29241,85999.203125,131984.890625,280362.15625,341549.25
18,32761,92004.9921875,135994.109375,289044.5625,342794.9375
19,36481,80974.3046875,132999.59375,272782.6875,339607.4375
20,40401,86008.515625,135951.296875,280421.9375,342701.03125
21,44521,86077.203125,129039.3046875,279849.5,335340.15625
22,48841,87002.6015625,138001.8125,281845.65625,344263.40625
23,53361,92978.2890625,128024.4921875,290382.9375,334207.21875
24,58081,88024.09375,117946.59375,283373.6875,322507.40625
25,63001,92012.5078125,124041.0,289066.59375,329736.09375
26,68121,88985.5078125,146983.890625,284698.0625,354120.59375
27,73441,113372.890625,150969.296875,297990.90625,363557.21875
28,78961,107998.609375,169357.71875,310377.625,357417.9375
29,84681,92922.6875,145870.890625,287140.78125,345362.9375
30,90601,80994.796875,132005.59375,272819.71875,338514.65625
31,96721,87003.7890625,130080.6953125,281848.0,336529.71875
32,103041,78000.2109375,129961.3125,268208.46875,336215.625
33,109561,79969.203125,126979.2109375,271245.5,335935.3125
34,116281,85104.796875,130963.6875,278459.1875,337315.84375
35,123201,82037.1015625,141005.40625,274524.46875,348038.1875
36,130321,89024.703125,118885.890625,284829.53125,323496.75
37,137641,90122.796875,139900.1875,286254.15625,347220.9375
38,145161,84988.796875,141020.703125,278863.125,348087.34375
39,152881,93994.796875,141000.796875,291841.8125,348028.90625
40,160801,88003.5078125,145005.984375,283310.28125,352136.0625
41,168921,77887.296875,153049.015625,267830.09375,360109.875
42,177241,82110.9140625,169033.578125,274816.90625,376849.625
43,185761,83037.09375,193787.8125,276018.625,388395.09375
44,194481,83002.1953125,165998.984375,279441.0625,372081.375
45,203401,80041.6015625,145330.703125,271458.5625,347384.75
46,212521,86011.9921875,138988.109375,283942.28125,345920.1875
47,221841,89301.609375,131001.5078125,272291.6875,337407.09375
48,231361,92010.9921875,138998.1875,288421.625,345946.4375
49,241081,80007.6953125,145995.09375,271320.71875,353103.28125
50,251001,91001.203125,139990.90625,287644.09375,346967.78125
