,time_epoch_dice,time_epoch_dice_hd
0,24914152000,24785519400
1,20957147100,24440691700
2,20865924700,23367255200
3,20996721400,23209543400
4,21111294400,23301231500
5,21109807900,23004706100
6,21509410100,23025509700
7,21425786300,23371922500
8,21954518200,24025212500
9,21199871400,24083848100
10,21616300200,25461722200
11,21414404200,24109538600
12,21506646100,24206248500
13,21236162000,24196649000
14,20982341600,24096416600
15,21014991100,24165686400
16,20878194900,23968596500
17,20554713600,24098884800
18,20696198100,24164030500
19,20734216700,24144625900
20,20658475400,24221340600
21,20840181600,27060505000
22,23538532800,24306485000
23,21603305000,23984909700
24,21010315600,24098216400
25,20931355000,24314221100
26,20748814200,24232558200
27,20749540700,24258400300
28,20409856600,24134017700
29,20365239000,24271384800
30,20505993100,24138258200
31,20644186200,25850392400
32,20558748000,24689860000
33,20425870700,24259799300
34,20396998500,24651392900
35,20506698300,24177667500
36,20412318300,24201069300
37,28816055200,24199669800
38,20637539900,24230484800
39,20531191800,24129471700
40,20412719000,24881362900
41,20491064600,24354344500
42,20402660100,26546017700
43,20550649500,24324134900
44,20422040500,24277034800
45,20574841000,24242781300
46,20424678600,24373727300
47,22894077900,24313968700
48,23130481100,24323469200
49,20546983400,24224722900
50,20518432600,24428657500
51,20397500700,24300715600
52,21211320200,24675503700
53,20715378200,26363426200
54,20527347300,24293565500
55,20529641000,24252062900
56,20440481400,24418026300
57,20571432300,24120010700
58,20401055700,24219199000
59,20568352900,24297752500
60,21165370000,24145328400
61,20523126500,24083450700
62,20543771900,24345410400
63,20540026000,26334294100
64,20752711300,24110024000
65,20796923300,24048711600
66,20557281700,24016167900
67,20492307100,23995179800
68,20514165400,24098949300
69,20607796200,24219920900
70,20592816900,24072909200
71,20731291200,24123726300
72,20597079700,24172542600
73,21119958500,24253481900
74,20843711900,27535662600
75,20849735700,24208262600
76,20668536800,24305958800
77,20736844700,24304318100
78,20798207900,24262879900
79,20862805800,24174021100
80,20698522500,25163363000
81,20750015700,24317794200
82,20683057900,24275354700
83,20517328600,24905518500
84,20612014900,24299453100
85,23142406700,26868755000
86,22535241600,24942387900
87,20707179900,24226089400
88,20810916000,24233122000
89,20490154200,25247527200
90,20551555200,24255365100
91,20491170600,24196248000
92,20607499000,24276943600
93,21265778300,24288809000
94,20484264900,24166116700
95,20562882300,26086461200
96,20560246200,24363936700
97,20461338900,24315600600
98,20516050000,24259959500
99,20537707400,24186165100
100,20439766400,32573929300
101,20443613400,24325761100
102,20586175100,24213199300
103,20405706500,24104907100
104,20473604100,24164797700
105,20359956300,24248798600
106,20411568800,27827547500
107,20459980000,24471602700
108,20505917100,24542057500
109,20439779200,24431984400
110,20466000700,24455510200
111,22091189000,24441632600
112,20355182400,24453263000
113,20365314600,24764209400
114,20550925100,24900799700
115,20449979400,24343907600
116,20425379800,24650091300
117,20363205700,24528863900
118,20491161100,24422279700
119,20489426500,24256699000
120,20567590900,24256252400
121,20428352600,24353297500
122,20338598300,24092408600
123,22111093200,24270598300
124,20854528900,24163321500
125,20630155100,24219038900
126,20611476300,24087326400
127,20590192000,27772390900
128,20452769200,24223260100
129,20591402200,24203073100
130,20777349900,24243964400
131,20450281000,24279179700
132,20520408200,24192851900
133,20506704900,24258096700
134,20550724800,24365062700
135,20527011700,24293456000
136,20485765600,24303656400
137,20517053300,24187232500
138,20508155400,27817485500
139,20338669400,24157742200
140,20409158300,24205917700
141,20623377100,24361618300
142,20622520600,24207080000
143,20460917300,24321852000
144,20446780200,24292757300
145,20410916100,24251998500
146,20375499800,24163214700
147,20390104600,24191514800
148,21798517600,24208924000
149,23025335400,24240375000
150,20585493800,24151614900
151,20633710500,24056035700
152,20562172200,24074091700
153,20540739400,24211454100
154,20569002200,24005976000
155,20674991900,24195468600
156,20640583000,24152838100
157,20566519200,24292456200
158,20517466900,24107122200
159,20604431700,26103872000
160,20566610000,24264771600
161,22405855600,24163806800
162,20826368900,24180747400
163,20401170100,24164085200
164,20370396900,24198509700
165,20367311300,24007161200
166,20477673100,24215066400
167,20403262700,24276091300
168,20512693000,24092209700
169,20303997000,23995851700
170,20438627700,29863507100
171,20491513700,24340145700
172,20645655400,24168907700
173,20389422500,24140792800
174,20478069900,24416568100
175,20460801900,24334964100
176,20725625500,25745546300
177,20929791100,25599759800
178,20755543200,24356167600
179,20738422600,24354466200
180,21920716400,24437718200
181,22773886200,24446478400
182,20974113600,24359019200
183,20804799700,24342378500
184,20876676400,24327024100
185,20572906300,24288282300
186,22042322700,24460173800
187,20975976300,24459885100
188,20560272700,24216421700
189,20519358900,24247433800
190,20440226600,24030036700
191,20446860600,29328927500
192,20407460800,24204761000
193,20380107200,24143599800
194,20477092000,24503772400
195,20568084900,24325464500
196,20405648500,24261290000
197,20379455800,24126744000
198,20350649100,24288718600
199,20355406200,24545642500
200,21200746300,24328267900
201,20596873000,24192077700
202,20447030000,28120186500
203,20436812800,24350841300
204,20362119300,24225139700
205,20555978900,24318691800
206,20595731700,24221266900
207,20520817600,24362531900
208,20455097100,24203781300
209,20649751200,24190099000
210,20633667100,24069098800
211,22089036800,24236025500
212,31484921500,24201476800
213,20597189400,24263105200
214,20466912400,24144341300
215,20412778000,24158901500
216,20658893200,24060849800
217,20624720900,24333277200
218,20577549800,24141148500
219,20341967300,24201543100
220,20596222700,24114330200
221,20667657100,24170348400
222,20862038600,24431668300
223,20853863700,26524447300
224,20705554800,24194705500
225,20684017500,23990195600
226,20715469000,24300707900
227,20822232800,24275307000
228,20825426500,24231469800
229,20689480700,24214163400
230,20758159000,24325951000
231,20723870800,24433867100
232,20720908000,24636708800
233,20638276800,24286605700
234,20794687000,27847029100
235,20709817700,24310818400
236,21252972100,24211068100
237,23167383700,24202609900
238,20666851600,24196407000
239,20589923300,24147186700
240,20466897400,24274668000
241,20522197100,24409488700
242,20585830400,24323577000
243,21166026100,24317738600
244,20503309300,24359384000
245,20497185100,24464404900
246,20434028200,24465863900
247,20431089400,25216429800
248,20414420200,24454178200
249,20705089800,24266870700
