sizes_loss_2D,dice_mean_2D,dice_std_2D,hausdorff_mean_2D,hausdorff_std_2D
1.0,113.27942727272728,539.047230421188,37.632775678391965,192.42404134824244
9.0,110.13192758264462,523.300666094898,60.94617888888889,293.3512461821888
25.0,110.2116313016529,520.864493728444,91.95774514811032,422.34476906098143
49.0,110.18224074457083,520.444178384061,133.81690553814002,529.6722510531745
81.0,120.88523682572615,582.4721248848887,195.85134444444444,747.8404724266594
121.0,119.87159875518671,578.9538342994719,276.03382529644267,961.7784442106937
169.0,133.27624693028096,711.9911983269158,367.5735468619246,1423.3750341869375
225.0,131.39089048117157,567.8598856630986,474.2106863013699,2011.7495512186736
289.0,127.75050655567118,570.2061371001644,694.870389108911,4058.4614378025094
361.0,140.92709109014677,714.371111310513,832.095719387755,4115.107630866683
